modelo,combustivel,ano,quilometragem,final de placa,carroceria,cor
['718'],['Gasolina'],['2018/2019'],['14.672'],['8'],['Cupê'],['Cinza'],['sim'],[''],['nao'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['320i'],['Gasolina e álcool'],['2020/2021'],['2.676'],['3'],['Sedã'],['Branco'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ECLIPSE CROSS'],['Gasolina'],['2018/2019'],['14.512'],['3'],['Utilitário esportivo'],['Cinza'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SANTA FÉ'],['Gasolina'],['2014/2015'],['85.872'],['3'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['CRETA'],['Gasolina e álcool'],['2018/2019'],['29.949'],['3'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['S10'],['Diesel'],['2018/2019'],['24.217'],['3'],['Picape'],['Vinho'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KICKS'],['Gasolina e álcool'],['2019/2020'],['19.698'],['2'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FOCUS'],['Gasolina e álcool'],['2017/2018'],['65.921'],['1'],['Sedã'],['Prata'],['nao'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2018/2019'],['62.405'],['6'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['SANTA FÉ'],['Gasolina'],['2017/2018'],['69.000'],['1'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['nao']
['COROLLA'],['Gasolina e álcool'],['2017/2018'],['56.000'],['2'],['Sedã'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['PRISMA'],['Gasolina e álcool'],['2018/2019'],['41.000'],['3'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['HR-V'],['Gasolina e álcool'],['2015/2016'],['46.000'],['2'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['I30'],['Gasolina'],['2013/2014'],['65.000'],['3'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ETIOS'],['Gasolina e álcool'],['2019/2020'],['22.000'],['1'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FUSION'],['Gasolina'],['2013/2014'],['66.000'],['7'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['Q3'],['Gasolina'],['2020/2020'],['7.058'],['9'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['JETTA'],['Gasolina e álcool'],['2015/2015'],['60.910'],['4'],['Sedã'],['Azul'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['COMPASS'],['Gasolina e álcool'],['2017/2017'],['54.810'],['5'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['Q3'],['Gasolina e álcool'],['2017/2018'],['52.000'],['4'],['Utilitário esportivo'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['PAJERO TR4'],['Gasolina'],['2014/2015'],['81.685'],['2'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['COMPASS'],['Gasolina e álcool'],['2017/2017'],['21.982'],['7'],['Utilitário esportivo'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['TOUAREG'],['Gasolina'],['2008/2009'],['112.000'],['2'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FUSION'],['Gasolina'],['2018/2018'],['77.000'],['3'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['HR-V'],['Gasolina e álcool'],['2016/2016'],['40.665'],['5'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['TRACKER'],['Gasolina e álcool'],['2017/2018'],['29.803'],['6'],['Utilitário esportivo'],['Preto'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['RANGER'],['Diesel'],['2020/2021'],['3.000'],['4'],['Picape'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['RANGE ROVER SPORT'],['Gasolina'],['2007/2007'],['115.000'],['2'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['UNO'],['Gasolina e álcool'],['2010/2011'],['113'],['6'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['KA'],['Gasolina e álcool'],['2019/2019'],['43.350'],['0'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['DUSTER'],['Gasolina e álcool'],['2020/2021'],['4.500'],['3'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['C 180'],['Gasolina'],['2012/2012'],['77.500'],['1'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['Computador de bordo']
['RENEGADE'],['Gasolina e álcool'],['2019/2020'],['45.405'],['0'],['Utilitário esportivo'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['POLO'],['Gasolina e álcool'],['2019/2020'],['44.825'],['9'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['TIGUAN'],['Gasolina e álcool'],['2019/2019'],['83.193'],['1'],['Utilitário esportivo'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['A4'],['Gasolina'],['2017/2018'],['35.500'],['2'],['Sedã'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['Z4'],['Gasolina'],['2011/2012'],['75.000'],['4'],['Conversível'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['PALIO'],['Gasolina e álcool'],['2007/2008'],['270.000'],['6'],['Hatchback'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['VIRTUS'],['Gasolina e álcool'],['2019/2020'],['46.800'],['0'],['Sedã'],['Azul'],['sim'],[''],['sim'],['nao'],['nao'],[''],['Retrovisores elétricos'],['Computador de bordo']
['RANGE ROVER SPORT'],['Diesel'],['2014/2014'],['67.571'],['1'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['320i'],['Gasolina e álcool'],['2018/2018'],['23.000'],['0'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['HB20'],['Gasolina e álcool'],['2016/2017'],['79.912'],['0'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['CAPTUR'],['Gasolina e álcool'],['2017/2018'],['34.514'],['4'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FOX'],['Gasolina e álcool'],['2018/2019'],['49.800'],['7'],['Hatchback'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['UP'],['Gasolina e álcool'],['2019/2019'],['27.100'],['3'],['Hatchback'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CAYENNE'],['Gasolina e elétrico'],['2017/2017'],['71.000'],['7'],['Utilitário esportivo'],['Vinho'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2019/2020'],['41.849'],['1'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['C 250'],['Gasolina'],['2015/2015'],['100.500'],['0'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FOCUS'],['Gasolina e álcool'],['2007/2008'],['136.592'],['5'],['Hatchback'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['2008'],['Gasolina e álcool'],['2019/2020'],['38.806'],['6'],['Utilitário esportivo'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['FOX'],['Gasolina e álcool'],['2017/2017'],['83.000'],['9'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['TORO'],['Diesel'],['2020/2020'],['8.000'],['0'],['Picape'],['Azul'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['VOYAGE'],['Gasolina'],['1991/1991'],['90.000'],['1'],['Sedã'],['Verde'],['nao'],[''],['nao'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['Q5'],['Gasolina'],['2019/2019'],['23.500'],['5'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['VIRTUS'],['Gasolina e álcool'],['2020/2020'],['13.208'],['8'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['BOXER'],['Diesel'],['2012/2013'],['230.600'],['5'],['Van/Utilitário'],['Prata'],['nao'],['Direção hidráulica'],['nao'],['nao'],['nao'],[''],[''],['nao']
['CAPTUR'],['Gasolina e álcool'],['2019/2020'],['43.841'],['8'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['GRAND CHEROKEE'],['Gasolina'],['2007/2007'],['129.000'],['0'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SANTA FÉ'],['Gasolina'],['2017/2018'],['28.000'],['1'],['Utilitário esportivo'],['Preto'],['nao'],[''],['nao'],['sim'],['nao'],[''],[''],['Computador de bordo']
['320i'],['Gasolina e álcool'],['2016/2016'],['70.000'],['2'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['JETTA'],['Gasolina'],['2016/2016'],['31.000'],['6'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['JETTA'],['Gasolina e álcool'],['2018/2018'],['74.500'],['8'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ONIX'],['Gasolina e álcool'],['2019/2019'],['54.695'],['3'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['LOGAN'],['Gasolina e álcool'],['2018/2019'],['59.520'],['3'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['ARGO'],['Gasolina e álcool'],['2019/2020'],['60.385'],['1'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['FIESTA'],['Gasolina e álcool'],['2013/2014'],['75.000'],['3'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['AMAROK'],['Diesel'],['2018/2019'],['31.600'],['5'],['Picape'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['COMPASS'],['Diesel'],['2019/2019'],['50.000'],['1'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['FUSION'],['Gasolina e elétrico'],['2015/2016'],['60.000'],['0'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['HR-V'],['Gasolina e álcool'],['2015/2016'],['84.900'],['1'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['nao'],['nao'],['sim'],[''],['Retrovisores elétricos'],['nao']
['COMPASS'],['Gasolina e álcool'],['2019/2020'],['43.055'],['6'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['A 200'],['Gasolina'],['2013/2014'],['38.800'],['0'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['X1'],['Gasolina e álcool'],['2019/2019'],['19.700'],['4'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FUSION'],['Gasolina'],['2018/2018'],['53.865'],['3'],['Sedã'],['Branco'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['320i'],['Gasolina e álcool'],['2015/2016'],['65.000'],['5'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['GOL'],['Gasolina e álcool'],['2019/2020'],['40.462'],['9'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['330i'],['Gasolina e álcool'],['2019/2019'],['11.500'],['4'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['RANGE ROVER EVOQUE'],['Gasolina'],['2012/2012'],['65.000'],['3'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['nao'],['Rodas de liga leve'],[''],['Computador de bordo']
['ONIX'],['Gasolina e álcool'],['2013/2013'],['85.000'],['0'],['Hatchback'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['IX35'],['Gasolina e álcool'],['2017/2018'],['28.500'],['3'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FORTWO'],['Gasolina'],['2009/2010'],['42.000'],['3'],['Hatchback'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['HR-V'],['Gasolina e álcool'],['2017/2017'],['84.000'],['3'],['Utilitário esportivo'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['Computador de bordo']
['GOL'],['Gasolina e álcool'],['2019/2020'],['53.900'],['7'],['Hatchback'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['CRUZE'],['Gasolina e álcool'],['2019/2019'],['8.970'],['2'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['316i'],['Gasolina'],['2014/2014'],['50.000'],['3'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2016/2017'],['58.740'],['2'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['X4'],['Gasolina'],['2015/2015'],['51.849'],['4'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['OMEGA'],['Gasolina'],['2005/2005'],['75.000'],['7'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['COMPASS'],['Gasolina e álcool'],['2018/2018'],['16.000'],['8'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['JOY'],['Gasolina e álcool'],['2019/2020'],['49.624'],['3'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['SANDERO'],['Gasolina e álcool'],['2019/2020'],['50.780'],['6'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['C 180'],['Gasolina'],['2011/2012'],['107.000'],['6'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['PRISMA'],['Gasolina e álcool'],['2019/2019'],['41.800'],['2'],['Sedã'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['LOGAN'],['Gasolina e álcool'],['2018/2019'],['51.890'],['4'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['RANGER'],['Diesel'],['2018/2019'],['38.000'],['6'],['Picape'],['Marrom'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['TIGUAN'],['Gasolina'],['2012/2013'],['97.000'],['6'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CRUZE'],['Gasolina e álcool'],['2019/2019'],['36.100'],['4'],['Sedã'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['MARCH'],['Gasolina e álcool'],['2016/2017'],['89.000'],['1'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['PASSAT'],['Gasolina'],['2017/2017'],['37.000'],['3'],['Sedã'],['Branco'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SYMBOL'],"['Gasolina, álcool e gás natural']",['2010/2011'],['137.000'],['0'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['TIGGO 5x'],['Gasolina e álcool'],['2021/2021'],['2.000'],['0'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CAYENNE'],['Gasolina'],['2010/2011'],['59.800'],['5'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['DISCOVERY SPORT'],['Gasolina'],['2015/2016'],['75.000'],['8'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CRV'],['Gasolina'],['2012/2012'],['164.000'],['2'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CLIO'],['Gasolina e álcool'],['2007/2008'],['174.500'],['3'],['Hatchback'],['Prata'],['nao'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['KOMBI'],['Gasolina e álcool'],['2010/2011'],['150.359'],['3'],['Van/Utilitário'],['Branco'],['sim'],[''],['nao'],['nao'],['sim'],[''],[''],['nao']
['ONIX'],['Gasolina e álcool'],['2019/2019'],['37.847'],['3'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['AMAROK'],['Diesel'],['2012/2013'],['144.000'],['9'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['nao'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['207'],['Gasolina e álcool'],['2009/2010'],['108.000'],['8'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['KICKS'],['Gasolina e álcool'],['2018/2018'],['36.000'],['6'],['Utilitário esportivo'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['320i'],['Gasolina e álcool'],['2017/2017'],['60.000'],['5'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['TRACKER'],['Gasolina'],['2019/2019'],['41.312'],['9'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['sim'],['sim'],[''],[''],['Computador de bordo']
['GOL'],['Gasolina e álcool'],['2013/2013'],['100'],['1'],['Hatchback'],['Preto'],['sim'],['Direção hidráulica'],['nao'],['nao'],['nao'],[''],[''],['nao']
['GOL'],['Gasolina e álcool'],['2019/2020'],['61.883'],['7'],['Hatchback'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['POLO'],['Gasolina e álcool'],['2018/2018'],['47.000'],['3'],['Hatchback'],['Azul'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SAVEIRO'],['Gasolina e álcool'],['2019/2020'],['100'],['5'],['Picape'],['Prata'],['nao'],['Direção hidráulica'],['nao'],['nao'],['nao'],[''],[''],['nao']
